trialno,rt,response,intensity,accuracy,id
1,7.995,0.0,-0.3255,1,VH88
2,1.247,1.0,-0.3255,0,VH88
3,1.823,0.0,0.3225,0,VH88
4,0.88,1.0,0.3225,1,VH88
5,1.472,1.0,0.3225,1,VH88
6,1.098,1.0,0.3225,1,VH88
7,1.166,0.0,-0.3255,1,VH88
8,1.229,1.0,0.3225,1,VH88
9,1.284,0.0,-0.3255,1,VH88
10,1.603,1.0,0.3225,1,VH88
11,1.53,1.0,0.3225,1,VH88
12,1.796,1.0,0.3225,1,VH88
13,1.155,0.0,0.3225,0,VH88
14,1.407,1.0,0.3225,1,VH88
15,1.695,1.0,0.3225,1,VH88
16,1.138,1.0,0.3225,1,VH88
17,1.268,1.0,0.3225,1,VH88
18,1.377,1.0,0.3225,1,VH88
19,1.386,1.0,-0.3255,0,VH88
20,1.126,1.0,0.3225,1,VH88
21,2.747,0.0,0.3225,0,VH88
22,1.173,1.0,0.3225,1,VH88
23,1.124,0.0,-0.3255,1,VH88
24,1.357,1.0,0.3225,1,VH88
25,2.353,0.0,0.3225,0,VH88
26,1.121,1.0,-0.3255,0,VH88
27,1.727,1.0,0.3225,1,VH88
28,1.702,1.0,0.3225,1,VH88
29,1.699,1.0,0.3225,1,VH88
30,1.654,0.0,0.3225,0,VH88
31,1.3,1.0,0.3225,1,VH88
32,1.524,0.0,0.3225,0,VH88
33,1.117,1.0,0.3225,1,VH88
34,1.256,1.0,0.3225,1,VH88
35,1.114,1.0,0.3225,1,VH88
36,1.212,1.0,0.3225,1,VH88
37,1.248,0.0,-0.3255,1,VH88
38,1.488,1.0,-0.3255,0,VH88
39,1.097,1.0,0.3225,1,VH88
40,1.255,1.0,0.3225,1,VH88
41,1.767,1.0,0.3225,1,VH88
42,2.108,1.0,0.3225,1,VH88
43,2.013,0.0,0.3225,0,VH88
44,1.511,0.0,0.3225,0,VH88
45,1.049,1.0,0.3225,1,VH88
46,1.26,0.0,0.3225,0,VH88
47,1.577,0.0,-0.3255,1,VH88
48,1.126,1.0,0.3225,1,VH88
49,1.253,1.0,0.3225,1,VH88
50,1.258,1.0,0.3225,1,VH88
51,1.843,1.0,-0.3255,0,VH88
52,1.878,0.0,0.3225,0,VH88
53,1.052,1.0,0.3225,1,VH88
54,1.003,0.0,0.3225,0,VH88
55,1.198,1.0,0.3225,1,VH88
56,0.977,1.0,0.3225,1,VH88
57,1.755,0.0,0.3225,0,VH88
58,1.226,1.0,0.3225,1,VH88
59,1.044,0.0,0.3225,0,VH88
60,1.074,1.0,0.3225,1,VH88
61,1.128,0.0,0.3225,0,VH88
62,1.341,1.0,0.3225,1,VH88
63,1.235,0.0,0.3225,0,VH88
64,1.018,1.0,0.3225,1,VH88
65,1.256,1.0,0.3225,1,VH88
66,1.153,1.0,0.3225,1,VH88
67,1.221,0.0,0.3225,0,VH88
68,1.743,0.0,0.3225,0,VH88
69,1.445,0.0,-0.3255,1,VH88
70,1.677,0.0,-0.3255,1,VH88
71,1.697,0.0,-0.3255,1,VH88
72,1.257,1.0,0.3225,1,VH88
